recId,ID,Short description,Status,Description,Notes,Created
recmqDeZSj3rKhurh,1,"This n8n workflow monitors a user's daily activity on Strava and sends email notifications to their accountability partners if their activity falls below a user-defined threshold, thereby helping users stay committed to their fitness goals.","1-This n8n workflow monitors a user's daily activity on Strava and sends email notifications to their accountability partners if their activity falls below a user-defined threshold, thereby helping users stay committed to their fitness goals.","This workflow automatically checks a user's Strava activity data daily and sends an email to their accountability partners if the user's activity level falls below a specified threshold. A fitness enthusiast can use this to stay accountable to their workout routine by notifying their accountability partners if they haven't been active enough.

- Automatically checks Strava activity data daily at 11 AM
- Compares the user's activity time to a pre-set threshold
- Sends an email to the user's accountability partners if the activity time is below the threshold
- Allows the user to customize the activity threshold, their own name and email, and the email addresses of their accountability partners

Quick Start:
1. Import this workflow to n8n
2. Configure your settings
3. Start automating!","{""nodes"":[{""name"":""Strava"",""type"":""n8n-nodes-base.strava"",""position"":[640,300],""parameters"":{""operation"":""getAll"",""returnAll"":true},""credentials"":{""stravaOAuth2Api"":""Strava OAuth2 Creds""},""typeVersion"":1},{""name"":""Accountability Settings"",""type"":""n8n-nodes-base.set"",""position"":[450,300],""parameters"":{""values"":{""number"":[{""name"":""moveTime"",""value"":1800}],""string"":[{""name"":""actPartner1"",""value"":""john.doe@example.com""},{""name"":""actPartner2"",""value"":""jane.doe@example.com""},{""name"":""actPartner3"",""value"":""jill.doe@example.com""},{""name"":""yourName"",""value"":""Jim""},{""name"":""yourEmail"",""value"":""jim.doe@example.com""}]},""options"":{},""keepOnlySet"":true},""typeVersion"":1},{""name"":""Check Activity Level"",""type"":""n8n-nodes-base.if"",""position"":[840,300],""parameters"":{""conditions"":{""number"":[{""value1"":""={{$node[\""Strava\""].json[\""moving_time\""]}}"",""value2"":""={{$node[\""Accountability Settings\""].parameter[\""values\""][\""number\""][0][\""value\""]}}"",""operation"":""largerEqual""}]}},""typeVersion"":1},{""name"":""Enough Activity"",""type"":""n8n-nodes-base.noOp"",""position"":[1050,220],""parameters"":{},""typeVersion"":1},{""name"":""Send Email"",""type"":""n8n-nodes-base.emailSend"",""position"":[1050,390],""parameters"":{""text"":""=Hey Accountability Team,\n\nLooks like {{$node[\""Accountability Settings\""].json[\""yourName\""]}} has been spending a bit too much time inactive! How about sending them a quick word of encouragement?\n\nThanks!\n{{$node[\""Accountability Settings\""].json[\""yourName\""]}}'s Heart"",""options"":{},""toEmail"":""={{$node[\""Accountability Settings\""].parameter[\""values\""][\""string\""][0][\""value\""]}}; {{$node[\""Accountability Settings\""].parameter[\""values\""][\""string\""][1][\""value\""]}}; {{$node[\""Accountability Settings\""].parameter[\""values\""][\""string\""][2][\""value\""]}}"",""fromEmail"":""={{$node[\""Accountability Settings\""].json[\""yourEmail\""]}}""},""credentials"":{""smtp"":""Email Creds""},""typeVersion"":1},{""name"":""Check Daily at 11:AM"",""type"":""n8n-nodes-base.cron"",""position"":[260,300],""parameters"":{""triggerTimes"":{""item"":[{""hour"":11}]}},""typeVersion"":1}],""connections"":{""Strava"":{""main"":[[{""node"":""Check Activity Level"",""type"":""main"",""index"":0}]]},""Check Activity Level"":{""main"":[[{""node"":""Enough Activity"",""type"":""main"",""index"":0}],[{""node"":""Send Email"",""type"":""main"",""index"":0}]]},""Check Daily at 11:AM"":{""main"":[[{""node"":""Accountability Settings"",""type"":""main"",""index"":0}]]},""Accountability Settings"":{""main"":[[{""node"":""Strava"",""type"":""main"",""index"":0}]]}}}",28/4/2025 5:35pm
recaVCWO11IUwd53H,2,"This n8n workflow automates the creation of a new Microsoft Teams channel, updates its name, and sends a message to the channel, streamlining communication setup for teams or projects.","2-This n8n workflow automates the creation of a new Microsoft Teams channel, updates its name, and sends a message to the channel, streamlining communication setup for teams or projects.","This workflow automates the process of creating a new Microsoft Teams channel, updating its name, and sending a message to the channel. A team manager could use this workflow to quickly set up a new channel for a project, update the channel name, and notify the team about the new channel, all with a single click.

What You Can Do:
- Triggered by a manual click to execute the workflow
- Automatically creates a new Microsoft Teams channel
- Updates the name of the newly created channel
- Sends a message to the new channel

Quick Start:
1. Import this workflow to n8n
2. Configure your settings
3. Start automating!","{""nodes"":[{""name"":""On clicking 'execute'"",""type"":""n8n-nodes-base.manualTrigger"",""position"":[540,360],""parameters"":{},""typeVersion"":1},{""name"":""Microsoft Teams"",""type"":""n8n-nodes-base.microsoftTeams"",""position"":[740,360],""parameters"":{""name"":""n8n-docs-demo"",""teamId"":""d6b83b00-085d-472c-a6d9-8c2c32c1424e"",""options"":{}},""credentials"":{""microsoftTeamsOAuth2Api"":""teams_n8n""},""typeVersion"":1},{""name"":""Microsoft Teams1"",""type"":""n8n-nodes-base.microsoftTeams"",""position"":[940,360],""parameters"":{""teamId"":""={{$node[\""Microsoft Teams\""].parameter[\""teamId\""]}}"",""channelId"":""={{$node[\""Microsoft Teams\""].json[\""id\""]}}"",""operation"":""update"",""updateFields"":{""name"":""n8n-documentation-demo""}},""credentials"":{""microsoftTeamsOAuth2Api"":""teams_n8n""},""typeVersion"":1},{""name"":""Microsoft Teams2"",""type"":""n8n-nodes-base.microsoftTeams"",""position"":[1140,360],""parameters"":{""teamId"":""={{$node[\""Microsoft Teams\""].parameter[\""teamId\""]}}"",""message"":""n8n rocks!"",""resource"":""channelMessage"",""channelId"":""={{$node[\""Microsoft Teams\""].json[\""id\""]}}"",""messageType"":""text""},""credentials"":{""microsoftTeamsOAuth2Api"":""teams_n8n""},""typeVersion"":1}],""connections"":{""Microsoft Teams"":{""main"":[[{""node"":""Microsoft Teams1"",""type"":""main"",""index"":0}]]},""Microsoft Teams1"":{""main"":[[{""node"":""Microsoft Teams2"",""type"":""main"",""index"":0}]]},""On clicking 'execute'"":{""main"":[[{""node"":""Microsoft Teams"",""type"":""main"",""index"":0}]]}}}",28/4/2025 5:35pm
recUlfPfmT2JicTu6,3,"This n8n workflow automatically sends a customized Mattermost message when new data is added to a specified Airtable table, enabling real-time notifications and streamlined communication between Airtable and Mattermost.","3-This n8n workflow automatically sends a customized Mattermost message when new data is added to a specified Airtable table, enabling real-time notifications and streamlined communication between Airtable and Mattermost.","This workflow automatically triggers a Mattermost message whenever new data is added to an Airtable table, providing real-time updates and visibility into the Airtable data. A team managing a project in Airtable could use this workflow to instantly notify the entire team on Mattermost whenever a new task or update is added to the Airtable database, keeping everyone informed and aligned.

Automatic trigger: The workflow is triggered whenever new data is added to the specified Airtable table, eliminating the need for manual monitoring. Customizable message: The message sent to Mattermost can be customized to include relevant details from the Airtable record, such as the record ID and name. Seamless integration: The workflow connects Airtable and Mattermost, allowing for efficient communication and collaboration between these two platforms.

Quick Start:
1. Import this workflow to n8n
2. Configure your settings
3. Start automating!","{""nodes"":[{""name"":""Airtable Trigger"",""type"":""n8n-nodes-base.airtableTrigger"",""position"":[550,340],""parameters"":{""baseId"":"""",""tableId"":""Data"",""pollTimes"":{""item"":[{""mode"":""everyMinute""}]},""triggerField"":""Created"",""additionalFields"":{}},""credentials"":{""airtableApi"":""Airtable Credentials n8n""},""typeVersion"":1},{""name"":""Mattermost"",""type"":""n8n-nodes-base.mattermost"",""position"":[750,340],""parameters"":{""message"":""=New Data was added to Airtable.\nID:{{$node[\""Airtable Trigger\""].json[\""fields\""][\""id\""]}}\nName: {{$node[\""Airtable Trigger\""].json[\""fields\""][\""name\""]}}"",""channelId"":"""",""attachments"":[],""otherOptions"":{}},""credentials"":{""mattermostApi"":""mattermost""},""typeVersion"":1}],""connections"":{""Airtable Trigger"":{""main"":[[{""node"":""Mattermost"",""type"":""main"",""index"":0}]]}}}",28/4/2025 5:35pm
rec9HJeeiu1npM51I,4,"This n8n workflow monitors a Kafka topic for messages containing temperature data, and if the temperature exceeds a set threshold, it sends a notification via the Vonage API to alert users.","4-This n8n workflow monitors a Kafka topic for messages containing temperature data, and if the temperature exceeds a set threshold, it sends a notification via the Vonage API to alert users.","This workflow monitors a Kafka topic, checks if the temperature value exceeds a threshold, and sends a notification via the Vonage API if the condition is met. It could be used in an IoT application that monitors environmental sensors. When the temperature value from a sensor exceeds a predefined threshold, the workflow triggers a notification to alert the user or system administrator.","{""nodes"":[{""name"":""Kafka Trigger"",""type"":""n8n-nodes-base.kafkaTrigger"",""position"":[490,260],""parameters"":{""topic"":""topic_test"",""groupId"":""n8n"",""options"":{""jsonParseMessage"":true}},""credentials"":{""kafka"":""kafka""},""typeVersion"":1},{""name"":""IF"",""type"":""n8n-nodes-base.if"",""position"":[690,260],""parameters"":{""conditions"":{""number"":[{""value1"":""={{$node[\""Kafka Trigger\""].json[\""message\""][\""temp\""]}}"",""value2"":50,""operation"":""larger""}]}},""typeVersion"":1},{""name"":""Vonage"",""type"":""n8n-nodes-base.vonage"",""position"":[890,160],""parameters"":{""from"":""Vonage APIs"",""message"":""=Alert!\nThe value of temp is {{$node[\""Kafka Trigger\""].json[\""message\""][\""temp\""]}}."",""additionalFields"":{}},""credentials"":{""vonageApi"":""vonage""},""typeVersion"":1},{""name"":""NoOp"",""type"":""n8n-nodes-base.noOp"",""position"":[890,360],""parameters"":{},""typeVersion"":1}],""connections"":{""IF"":{""main"":[[{""node"":""Vonage"",""type"":""main"",""index"":0}],[{""node"":""NoOp"",""type"":""main"",""index"":0}]]},""Kafka Trigger"":{""main"":[[{""node"":""IF"",""type"":""main"",""index"":0}]]}}}",28/4/2025 5:40pm
rec8jq0vz3ckaZ1sh,5,"This n8n workflow automates the process of adding a user to a Mattermost channel and sending a welcome message, which can be used by team leads to efficiently onboard new team members.","5-This n8n workflow automates the process of adding a user to a Mattermost channel and sending a welcome message, which can be used by team leads to efficiently onboard new team members.","This workflow automates the process of adding a user to a Mattermost channel and sending a welcome message to the channel. A team lead can use this workflow to quickly onboard new team members by adding them to a designated Mattermost channel and sending a welcome message to the entire team. 

What You Can Do:
- Triggered by a manual execution
- Adds a user to a specified Mattermost channel
- Sends a welcome message to the channel

Quick Start:
1. Import this workflow to n8n
2. Configure your settings
3. Start automating!","{""nodes"":[{""name"":""On clicking 'execute'"",""type"":""n8n-nodes-base.manualTrigger"",""position"":[270,340],""parameters"":{},""typeVersion"":1},{""name"":""Mattermost"",""type"":""n8n-nodes-base.mattermost"",""position"":[470,340],""parameters"":{""teamId"":""4zhpirmh97fn7jgp7qhyue5a6e"",""channel"":""docs"",""resource"":""channel"",""displayName"":""Docs""},""credentials"":{""mattermostApi"":""Mattermost Credentials""},""typeVersion"":1},{""name"":""Mattermost1"",""type"":""n8n-nodes-base.mattermost"",""position"":[670,340],""parameters"":{""userId"":""5oiy71hukjgd9eprj1o4a3poio"",""resource"":""channel"",""channelId"":""={{$node[\""Mattermost\""].json[\""id\""]}}"",""operation"":""addUser""},""credentials"":{""mattermostApi"":""Mattermost Credentials""},""typeVersion"":1},{""name"":""Mattermost2"",""type"":""n8n-nodes-base.mattermost"",""position"":[870,340],""parameters"":{""message"":""Hey! Welcome to the channel!"",""channelId"":""={{$node[\""Mattermost\""].json[\""id\""]}}"",""attachments"":[],""otherOptions"":{}},""credentials"":{""mattermostApi"":""Mattermost Credentials""},""typeVersion"":1}],""connections"":{""Mattermost"":{""main"":[[{""node"":""Mattermost1"",""type"":""main"",""index"":0}]]},""Mattermost1"":{""main"":[[{""node"":""Mattermost2"",""type"":""main"",""index"":0}]]},""On clicking 'execute'"":{""main"":[[{""node"":""Mattermost"",""type"":""main"",""index"":0}]]}}}",28/4/2025 5:40pm
recr0jZ8Qgekrqw0e,6,"This n8n workflow retrieves the current temperature in Berlin every day and sends a push notification with the weather update to the user's device at 9 AM. It is designed to keep users informed about daily weather conditions without manual checks, helping them plan their day accordingly.","6-This n8n workflow retrieves the current temperature in Berlin every day and sends a push notification with the weather update to the user's device at 9 AM. It is designed to keep users informed about daily weather conditions without manual checks, helping them plan their day accordingly.","This workflow automatically retrieves the current temperature in Berlin and sends a push notification with the weather update to the user's device every day at 9 AM. This setup is useful for someone who wants to stay informed about the daily weather in Berlin without having to check the forecast manually. By setting up this workflow, they can receive a push notification with the current temperature every morning, allowing them to plan their day accordingly.","{""nodes"":[{""name"":""Cron"",""type"":""n8n-nodes-base.cron"",""position"":[810,340],""parameters"":{""triggerTimes"":{""item"":[{""hour"":9}]}},""typeVersion"":1},{""name"":""OpenWeatherMap"",""type"":""n8n-nodes-base.openWeatherMap"",""position"":[1010,340],""parameters"":{""cityName"":""berlin""},""credentials"":{""openWeatherMapApi"":""owm""},""typeVersion"":1},{""name"":""Spontit"",""type"":""n8n-nodes-base.spontit"",""position"":[1210,340],""parameters"":{""content"":""=Hey! The temperature outside is {{$node[\""OpenWeatherMap\""].json[\""main\""][\""temp\""]}}°C."",""additionalFields"":{""pushTitle"":""Today's Weather Update""}},""credentials"":{""spontitApi"":""spontit""},""typeVersion"":1}],""connections"":{""Cron"":{""main"":[[{""node"":""OpenWeatherMap"",""type"":""main"",""index"":0}]]},""OpenWeatherMap"":{""main"":[[{""node"":""Spontit"",""type"":""main"",""index"":0}]]}}}",28/4/2025 5:40pm
rechxlcw0FJnv2cXp,7,"This n8n workflow automates the process of sending bulk messages to a Telegram group by retrieving data from a Google Sheet, splitting the data into manageable batches, and sending each batch as a Telegram message with a 30-second delay to prevent overwhelming the group.","7-This n8n workflow automates the process of sending bulk messages to a Telegram group by retrieving data from a Google Sheet, splitting the data into manageable batches, and sending each batch as a Telegram message with a 30-second delay to prevent overwhelming the group.","This workflow retrieves data from a Google Sheet, splits it into batches, and sends each batch as a Telegram message with a 30-second delay between batches. Example: A business owner wants to send a daily update to their Telegram group with the latest sales data from their Google Sheet. This workflow automates the process, ensuring the data is sent in manageable batches with a delay to avoid overwhelming the group. 

What You Can Do:
- Retrieves data from a Google Sheet
- Splits the data into batches to avoid overwhelming the Telegram group
- Sends each batch as a Telegram message with a 30-second delay between batches

Quick Start:
1. Import this workflow to n8n
2. Configure your settings
3. Start automating!","{""nodes"":[{""name"":""On clicking 'execute'"",""type"":""n8n-nodes-base.manualTrigger"",""position"":[-60,400],""parameters"":{},""typeVersion"":1},{""name"":""Telegram"",""type"":""n8n-nodes-base.telegram"",""position"":[500,400],""parameters"":{""text"":""Hello"",""chatId"":""={{$node[\""SplitInBatches\""].json[\""Chat ID\""]}}"",""additionalFields"":{}},""credentials"":{""telegramApi"":{""id"":null,""name"":""telegram-bot""}},""typeVersion"":1},{""name"":""Google Sheets"",""type"":""n8n-nodes-base.googleSheets"",""position"":[120,400],""parameters"":{""range"":""A:A"",""options"":{},""authentication"":""oAuth2""},""credentials"":{""googleSheetsOAuth2Api"":{""id"":null,""name"":""google-sheet""}},""typeVersion"":1},{""name"":""SplitInBatches"",""type"":""n8n-nodes-base.splitInBatches"",""position"":[320,400],""parameters"":{""options"":{},""batchSize"":30},""typeVersion"":1},{""name"":""Wait1"",""type"":""n8n-nodes-base.wait"",""position"":[660,180],""webhookId"":""22fca54c-eac4-44bc-adf7-68b33818695c"",""parameters"":{""unit"":""seconds"",""amount"":30},""typeVersion"":1}],""connections"":{""Wait1"":{""main"":[[{""node"":""SplitInBatches"",""type"":""main"",""index"":0}]]},""Telegram"":{""main"":[[{""node"":""Wait1"",""type"":""main"",""index"":0}]]},""Google Sheets"":{""main"":[[{""node"":""SplitInBatches"",""type"":""main"",""index"":0}]]},""SplitInBatches"":{""main"":[[{""node"":""Telegram"",""type"":""main"",""index"":0}]]},""On clicking 'execute'"":{""main"":[[{""node"":""Google Sheets"",""type"":""main"",""index"":0}]]}}}",28/4/2025 5:40pm
rechj85PafmIx65b6,8,"This n8n workflow is designed to retrieve the current temperature in Berlin using the OpenWeatherMap API and send a daily weather update notification to a Gotify messaging platform. By utilizing a Cron trigger, users can automate receiving these updates each day, helping them stay informed about the local weather conditions.","8-This n8n workflow is designed to retrieve the current temperature in Berlin using the OpenWeatherMap API and send a daily weather update notification to a Gotify messaging platform. By utilizing a Cron trigger, users can automate receiving these updates each day, helping them stay informed about the local weather conditions.","This workflow retrieves the current temperature in Berlin and sends a daily weather update notification to a Gotify messaging platform. 

Example: A user could set up this workflow to receive a daily notification about the current temperature in Berlin, allowing them to plan their day and dress appropriately for the weather.

## What You Can Do
- Scheduled daily weather updates using a Cron trigger
- Retrieval of current temperature data from the OpenWeatherMap API
- Delivery of weather updates as notifications to a Gotify messaging platform

## Quick Start
1. Import this workflow to n8n
2. Configure your settings
3. Start automating!","{""nodes"":[{""name"":""Cron"",""type"":""n8n-nodes-base.cron"",""position"":[490,340],""parameters"":{""triggerTimes"":{""item"":[{""hour"":9}]}},""typeVersion"":1},{""name"":""OpenWeatherMap"",""type"":""n8n-nodes-base.openWeatherMap"",""position"":[690,340],""parameters"":{""cityName"":""berlin""},""credentials"":{""openWeatherMapApi"":""owm""},""typeVersion"":1},{""name"":""Gotify"",""type"":""n8n-nodes-base.gotify"",""position"":[890,340],""parameters"":{""message"":""=Hey! The temperature outside is {{$node[\""OpenWeatherMap\""].json[\""main\""][\""temp\""]}}°C."",""additionalFields"":{""title"":""Today's Weather Update""}},""credentials"":{""gotifyApi"":""gotify-credentials""},""typeVersion"":1}],""connections"":{""Cron"":{""main"":[[{""node"":""OpenWeatherMap"",""type"":""main"",""index"":0}]]},""OpenWeatherMap"":{""main"":[[{""node"":""Gotify"",""type"":""main"",""index"":0}]]}}}",28/4/2025 5:40pm
recqwqUZBanUmdGJd,9,"This workflow monitors messages from a RabbitMQ queue and sends an SMS alert via Vonage if the ""temp"" parameter in the message exceeds 50, allowing immediate action to be taken on conditions like temperature threshold breaches.","9-This workflow monitors messages from a RabbitMQ queue and sends an SMS alert via Vonage if the ""temp"" parameter in the message exceeds 50, allowing immediate action to be taken on conditions like temperature threshold breaches.","This workflow monitors a RabbitMQ queue, checks if the value of the ""temp"" parameter exceeds 50, and sends an alert via Vonage if the condition is met. It triggers on new messages in a RabbitMQ queue, checks the value of a specific parameter (""temp"") against a predefined threshold, and sends an alert via Vonage if the condition is met. It also provides a ""no-op"" node for cases where the condition is not met.","{""nodes"":[{""name"":""RabbitMQ"",""type"":""n8n-nodes-base.rabbitmqTrigger"",""position"":[520,220],""parameters"":{""queue"":""temp"",""options"":{""onlyContent"":true,""jsonParseBody"":true}},""credentials"":{""rabbitmq"":""RabbitMQ Credentials""},""typeVersion"":1},{""name"":""IF"",""type"":""n8n-nodes-base.if"",""position"":[720,220],""parameters"":{""conditions"":{""number"":[{""value1"":""={{$node[\""RabbitMQ\""].json[\""temp\""]}}"",""value2"":50,""operation"":""larger""}]}},""typeVersion"":1},{""name"":""Vonage"",""type"":""n8n-nodes-base.vonage"",""position"":[930,120],""parameters"":{""message"":""=Alert!\nThe value of temp is {{$node[\""RabbitMQ\""].json[\""temp\""]}}."",""additionalFields"":{}},""credentials"":{""vonageApi"":""vonage""},""typeVersion"":1},{""name"":""NoOp"",""type"":""n8n-nodes-base.noOp"",""position"":[920,370],""parameters"":{},""typeVersion"":1}],""connections"":{""IF"":{""main"":[[{""node"":""Vonage"",""type"":""main"",""index"":0}],[{""node"":""NoOp"",""type"":""main"",""index"":0}]]},""RabbitMQ"":{""main"":[[{""node"":""IF"",""type"":""main"",""index"":0}]]}}}",28/4/2025 5:40pm
recLIzYGCgtQ8EUoh,10,"This n8n workflow automates the process of capturing website screenshots, uploading them to Dropbox, and sending an email with the screenshots to a specified email address. It provides a streamlined solution for tasks such as capturing and sharing website images for client reviews, eliminating the need for manual efforts.","10-This n8n workflow automates the process of capturing website screenshots, uploading them to Dropbox, and sending an email with the screenshots to a specified email address. It provides a streamlined solution for tasks such as capturing and sharing website images for client reviews, eliminating the need for manual efforts.","This workflow generates website screenshots, uploads them to Dropbox, and sends an email with the screenshots to a specified email address. A marketing team could use this workflow to quickly capture screenshots of a client's website and send them to the client for review, without the need for manual screenshot capture and email sending.

What You Can Do:
- Automatically captures a full-page screenshot and a standard screenshot of a website
- Uploads the screenshots to a Dropbox folder
- Sends an email with the screenshots to a specified email address

Quick Start:
1. Import this workflow to n8n
2. Configure your settings
3. Start automating!","{""nodes"":[{""name"":""On clicking 'execute'"",""type"":""n8n-nodes-base.manualTrigger"",""position"":[440,580],""parameters"":{},""typeVersion"":1},{""name"":""Create Web + Email Item"",""type"":""n8n-nodes-base.functionItem"",""position"":[630,580],""parameters"":{""functionCode"":""item.website = \""https://uproc.io\"";\nitem.email = \""miquel@uproc.io\"";\n\nreturn item;""},""typeVersion"":1},{""name"":""Send Email"",""type"":""n8n-nodes-base.awsSes"",""position"":[1660,600],""parameters"":{""body"":""=Hi,\n<br><br>\nThese are your screenshots:<br>\n<table border=\""0\"">\n<tr>\n<th>Simple screenshot</th><th>Fullpage screenshot</th>\n<tr>\n<td style=\""vertical-align: top; text-align: center\""><img src=\""{{$node[\""Generate Screenshot\""].json[\""message\""][\""result\""]}}\"" width=\""320\""></td>\n<td style=\""vertical-align: top; text-align: center\""><img src=\""{{$node[\""Generate FullPage\""].json[\""message\""][\""result\""]}}\"" width=\""320\""></td>\n</tr>\n</table>\n<br><br>\nThank you!"",""subject"":""Your screenshots!"",""fromEmail"":""miquel@uproc.io"",""isBodyHtml"":true,""toAddresses"":[""={{$node[\""Create Web + Email Item\""].json[\""email\""]}}""],""additionalFields"":{}},""credentials"":{""aws"":""ses""},""typeVersion"":1},{""name"":""Generate FullPage"",""type"":""n8n-nodes-base.uproc"",""position"":[850,510],""parameters"":{""url"":""={{$node[\""Create Web + Email Item\""].json[\""website\""]}}"",""tool"":""getUrlScreenshot"",""group"":""image"",""width"":""640"",""fullpage"":""yes"",""additionalOptions"":{}},""credentials"":{""uprocApi"":""miquel-uproc""},""typeVersion"":1},{""name"":""Generate Screenshot"",""type"":""n8n-nodes-base.uproc"",""position"":[840,680],""parameters"":{""url"":""={{$node[\""Create Web + Email Item\""].json[\""website\""]}}"",""tool"":""getUrlScreenshot"",""group"":""image"",""width"":""640"",""fullpage"":""no"",""additionalOptions"":{}},""credentials"":{""uprocApi"":""miquel-uproc""},""typeVersion"":1},{""name"":""Get File"",""type"":""n8n-nodes-base.httpRequest"",""position"":[1050,510],""parameters"":{""url"":""={{$node[\""Generate FullPage\""].json[\""message\""][\""result\""]}}"",""options"":{},""responseFormat"":""file"",""allowUnauthorizedCerts"":true},""typeVersion"":1},{""name"":""Get File1"",""type"":""n8n-nodes-base.httpRequest"",""position"":[1050,680],""parameters"":{""url"":""={{$node[\""Generate Screenshot\""].json[\""message\""][\""result\""]}}"",""options"":{},""responseFormat"":""file"",""allowUnauthorizedCerts"":true},""typeVersion"":1},{""name"":""Merge"",""type"":""n8n-nodes-base.merge"",""position"":[1460,600],""parameters"":{""mode"":""passThrough""},""typeVersion"":1},{""name"":""Upload Screenshot"",""type"":""n8n-nodes-base.dropbox"",""position"":[1270,680],""parameters"":{""path"":""/screenshots/sample.png"",""binaryData"":true},""credentials"":{""dropboxApi"":""dropbox-miquel""},""typeVersion"":1},{""name"":""Upload fullpage"",""type"":""n8n-nodes-base.dropbox"",""position"":[1270,510],""parameters"":{""path"":""/screenshots/sample_fullpage.png"",""binaryData"":true},""credentials"":{""dropboxApi"":""dropbox-miquel""},""typeVersion"":1}],""connections"":{""Merge"":{""main"":[[{""node"":""Send Email"",""type"":""main"",""index"":0}]]},""Get File"":{""main"":[[{""node"":""Upload fullpage"",""type"":""main"",""index"":0}]]},""Get File1"":{""main"":[[{""node"":""Upload Screenshot"",""type"":""main"",""index"":0}]]},""Upload fullpage"":{""main"":[[{""node"":""Merge"",""type"":""main"",""index"":0}]]},""Generate FullPage"":{""main"":[[{""node"":""Get File"",""type"":""main"",""index"":0}]]},""Upload Screenshot"":{""main"":[[{""node"":""Merge"",""type"":""main"",""index"":1}]]},""Generate Screenshot"":{""main"":[[{""node"":""Get File1"",""type"":""main"",""index"":0}]]},""On clicking 'execute'"":{""main"":[[{""node"":""Create Web + Email Item"",""type"":""main"",""index"":0}]]},""Create Web + Email Item"":{""main"":[[{""node"":""Generate FullPage"",""type"":""main"",""index"":0},{""node"":""Generate Screenshot"",""type"":""main"",""index"":0}]]}}}",28/4/2025 5:40pm
